INDIA,IND,SOUTHERN ASIA
INDONESIA,IDN,SOUTH-EASTERN ASIA
IRAN,IRN,SOUTHERN ASIA
IRAQ,IRQ,WESTERN ASIA
IRELAND,IRL,NORTHERN EUROPE
ISLE OF MAN,IMN,NORTHERN EUROPE
ISRAEL,ISR,WESTERN ASIA
ITALY,ITA,SOUTHERN EUROPE
JAMAICA,JAM,CARIBBEAN
JAPAN,JPN,EASTERN ASIA
JERSEY,JEY,NORTHERN EUROPE
JORDAN,JOR,WESTERN ASIA
KAZAKHSTAN,KAZ,CENTRAL ASIA
KENYA,KEN,EASTERN AFRICA
KIRIBATI,KIR,MICRONESIA
NORTH KOREA,PRK,EASTERN ASIA
SOUTH KOREA,KOR,EASTERN ASIA
KUWAIT,KWT,WESTERN ASIA
KYRGYZSTAN,KGZ,CENTRAL ASIA
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,SOUTH-EASTERN ASIA
LATVIA,LVA,NORTHERN EUROPE
LEBANON,LBN,WESTERN ASIA
LESOTHO,LSO,SOUTHERN AFRICA
LIBERIA,LBR,WESTERN AFRICA
LIBYA,LBY,NORTHERN AFRICA
LIECHTENSTEIN,LIE,WESTERN EUROPE
LITHUANIA,LTU,NORTHERN EUROPE
LUXEMBOURG,LUX,WESTERN EUROPE
MACAO,MAC,EASTERN ASIA
MACEDONIA,MKD,SOUTHERN EUROPE
MADAGASCAR,MDG,EASTERN AFRICA
MALAWI,MWI,EASTERN AFRICA
MALAYSIA,MYS,SOUTH-EASTERN ASIA
MALDIVES,MDV,SOUTHERN ASIA
MALI,MLI,WESTERN AFRICA
MALTA,MLT,SOUTHERN EUROPE
MARSHALL ISLANDS,MHL,MICRONESIA
MARTINIQUE,MTQ,CARIBBEAN
MAURITANIA,MRT,WESTERN AFRICA
MAURITIUS,MUS,EASTERN AFRICA
MAYOTTE,MYT,EASTERN AFRICA
MEXICO,MEX,CENTRAL AMERICA
MICRONESIA,FSM,MICRONESIA
MOLDOVA,MDA,EASTERN EUROPE
MONACO,MCO,WESTERN EUROPE
MONGOLIA,MNG,EASTERN ASIA
MONTENEGRO,MNE,SOUTHERN EUROPE
MONTSERRAT,MSR,CARIBBEAN
MOROCCO,MAR,NORTHERN AFRICA
MOZAMBIQUE,MOZ,EASTERN AFRICA
MYANMAR,MMR,SOUTH-EASTERN ASIA
NAMIBIA,NAM,SOUTHERN AFRICA
NAURU,NRU,MICRONESIA
NEPAL,NPL,SOUTHERN ASIA
NETHERLANDS,NLD,WESTERN EUROPE
NEW CALEDONIA,NCL,MELANESIA
NEW ZEALAND,NZL,AUSTRALIA AND NEW ZEALAND
NICARAGUA,NIC,CENTRAL AMERICA
NIGER,NER,WESTERN AFRICA
NIGERIA,NGA,WESTERN AFRICA
NIUE,NIU,POLYNESIA
NORFOLK ISLAND,NFK,AUSTRALIA AND NEW ZEALAND
NORTHERN MARIANA ISLANDS,MNP,MICRONESIA
NORWAY,NOR,NORTHERN EUROPE
OMAN,OMN,WESTERN ASIA
PAKISTAN,PAK,SOUTHERN ASIA
PALAU,PLW,MICRONESIA
STATE OF PALESTINE,PSE,WESTERN ASIA
PANAMA,PAN,CENTRAL AMERICA
PAPUA NEW GUINEA,PNG,MELANESIA
PARAGUAY,PRY,SOUTH AMERICA
PERU,PER,SOUTH AMERICA
PHILIPPINES,PHL,SOUTH-EASTERN ASIA
PITCAIRN,PCN,POLYNESIA
POLAND,POL,EASTERN EUROPE
PORTUGAL,PRT,SOUTHERN EUROPE
PUERTO RICO,PRI,CARIBBEAN
QATAR,QAT,WESTERN ASIA
RÉUNION,REU,EASTERN AFRICA
ROMANIA,ROU,EASTERN EUROPE
RUSSIAN FEDERATION,RUS,EASTERN EUROPE
RUSSIA,RUS,EASTERN EUROPE
RWANDA,RWA,EASTERN AFRICA
SAINT BARTHÉLEMY,BLM,CARIBBEAN
ASCENSION AND TRISTAN DA CUNHA SAINT HELENA,SHN,WESTERN AFRICA
SAINT KITTS AND NEVIS,KNA,CARIBBEAN
SAINT LUCIA,LCA,CARIBBEAN
SAINT MARTIN,MAF,CARIBBEAN
SAINT PIERRE AND MIQUELON,SPM,NORTHERN AMERICA
SAINT VINCENT AND THE GRENADINES,VCT,CARIBBEAN
SAMOA,WSM,POLYNESIA
SAN MARINO,SMR,SOUTHERN EUROPE
SAO TOME AND PRINCIPE,STP,MIDDLE AFRICA
SAUDI ARABIA,SAU,WESTERN ASIA
SENEGAL,SEN,WESTERN AFRICA
SERBIA,SRB,SOUTHERN EUROPE
SEYCHELLES,SYC,EASTERN AFRICA
SIERRA LEONE,SLE,WESTERN AFRICA
SINGAPORE,SGP,SOUTH-EASTERN ASIA
SINT MAARTEN,SXM,CARIBBEAN
SLOVAKIA,SVK,EASTERN EUROPE
SLOVENIA,SVN,SOUTHERN EUROPE
SOLOMON ISLANDS,SLB,MELANESIA
SOMALIA,SOM,EASTERN AFRICA
SOUTH AFRICA,ZAF,SOUTHERN AFRICA
SOUTH SUDAN,SSD,EASTERN AFRICA
SPAIN,ESP,SOUTHERN EUROPE
SRI LANKA,LKA,SOUTHERN ASIA
SUDAN,SDN,NORTHERN AFRICA
SURINAME,SUR,SOUTH AMERICA
SVALBARD AND JAN MAYEN,SJM,NORTHERN EUROPE
SWAZILAND,SWZ,SOUTHERN AFRICA
SWEDEN,SWE,NORTHERN EUROPE
SWITZERLAND,CHE,WESTERN EUROPE
SYRIA,SYR,WESTERN ASIA
TAIWAN,TWN,EASTERN ASIA
TAJIKISTAN,TJK,CENTRAL ASIA
UNITED REPUBLIC OF TANZANIA,TZA,EASTERN AFRICA
THAILAND,THA,SOUTH-EASTERN ASIA
TIMOR-LESTE,TLS,SOUTH-EASTERN ASIA
TOGO,TGO,WESTERN AFRICA
TOKELAU,TKL,POLYNESIA
TONGA,TON,POLYNESIA
TRINIDAD AND TOBAGO,TTO,CARIBBEAN
TUNISIA,TUN,NORTHERN AFRICA
TURKEY,TUR,WESTERN ASIA
TURKMENISTAN,TKM,CENTRAL ASIA
TURKS AND CAICOS ISLANDS,TCA,CARIBBEAN
TUVALU,TUV,POLYNESIA
UGANDA,UGA,EASTERN AFRICA
UKRAINE,UKR,EASTERN EUROPE
UNITED ARAB EMIRATES,ARE,WESTERN ASIA
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,GBR,NORTHERN EUROPE
UNITED KINGDOM,GBR,NORTHERN EUROPE
UK,GBR,NORTHERN EUROPE
UNITED STATES OF AMERICA,USA,NORTHERN AMERICA
UNITED STATES,USA,NORTHERN AMERICA
USA,USA,NORTHERN AMERICA
URUGUAY,URY,SOUTH AMERICA
UZBEKISTAN,UZB,CENTRAL ASIA
VANUATU,VUT,MELANESIA
VENEZUELA,VEN,SOUTH AMERICA
VIET NAM,VNM,SOUTH-EASTERN ASIA
VIRGIN ISLANDS,VIR,CARIBBEAN
WALLIS AND FUTUNA,WLF,POLYNESIA
WESTERN SAHARA,ESH,NORTHERN AFRICA
YEMEN,YEM,WESTERN ASIA
ZAMBIA,ZMB,EASTERN AFRICA
ZIMBABWE,ZWE,EASTERN AFRICA
